,title,director ,writer,actors,gener,language,runtime,average,votes,link
0,我的青春恋爱物语果然有问题 第二季 OVA やはり俺の青春ラブコメはまちがっている。続 OVA,岩崎光洋,['大知慶一郎'],"['江口拓也', '早见沙织', '东山奈央', '佐仓绫音', '工藤雅久']","['爱情', '动画']", 日语,2016-10-27(日本),9.1,4391,https://movie.douban.com/subject/26862240/
1,机遇之歌 Przypadek,克日什托夫·基耶斯洛夫斯基,['克日什托夫·基耶斯洛夫斯基'],"['博古斯瓦夫·林达', '塔德乌什·罗姆尼斯基', '比涅尤·扎塔西奇斯', '伯格斯拉娃·帕韦莱茨', '马尔泽娜·泰巴拉', '亚切克·博尔科夫斯基', '亚切克·萨斯-乌赫里诺夫斯基', '亚当·费仁希', '莫妮卡·戈兹克', '齐格蒙特·哈布纳', '伊雷娜·比尔斯卡']",['剧情'], 波兰语,1987-01-10(波兰),8.6,10296,https://movie.douban.com/subject/1307200/
2,另一个故乡 Die andere Heimat - Chronik einer Sehnsucht,爱德嘉·莱兹,"['爱德嘉·莱兹', '葛特·海登赖赫']","['扬·迪特尔·施耐德', '安东尼娅·比尔', '麦斯米兰·沙伊特', '玛丽塔·布劳耶', '吕迪格·克里泽', '费丽娜·莱拜克', '梅拉妮·富歇', '伊娃·塞德勒', '莱因哈德·保卢斯', '芭芭拉·菲利普', '克里斯托弗·卢泽', '赖纳·库恩', '安德里亚斯·库尔策', '杰罗恩·佩瑟瓦尔', '沃纳·赫尔佐格']","['剧情', '历史']", 德语,2013-08-29(威尼斯电影节),8.6,8390,https://movie.douban.com/subject/22265121/
3,花落花开 Séraphine,马丁·波渥斯,"['Marc Abdelnour', '马丁·波渥斯']","['友兰达·梦露', '乌尔里希·图库尔', '安妮·贝南特', '杰纳维夫·马尼奇', '阿德莱德·勒鲁', '尼克·罗格勒', '弗朗索瓦兹·勒布伦', '塞尔日·拉里维埃尔']","['剧情', '传记', '战争']", 法语 / 德语,2008-09-07,8.5,18757,https://movie.douban.com/subject/3173635/
4,空之境界 终章 空之境界 劇場版 空の境界 終章 空の境界,近藤光,['平松正树'],"['坂本真绫', '铃村健一']",['动画'], 日语,2010-12-18(日本),8.5,11006,https://movie.douban.com/subject/5296286/
5,白色严冬 Into the White,彼特·纳斯,"['Ole Meldgaard', 'Dave Mango', '彼特·纳斯']","['弗洛里安·卢卡斯', '大卫·克劳斯', '斯蒂格·亨里克·霍夫', '拉克兰·尼布尔', '鲁伯特·格林特', 'Kim Haugen', 'Knut Joner', 'Morten Faldaas', 'Sondre Krogtoft Larsen']","['剧情', '历史', '战争']", 英语 / 挪威语 / 德语,2012-03-09(挪威),8.4,19501,https://movie.douban.com/subject/6129462/
6,无语问苍天 Awakenings,潘妮·马歇尔,"['斯蒂文·泽里安', '奥利弗·萨克斯']","['罗伯特·德尼罗', '罗宾·威廉姆斯', '朱莉·卡夫娜', '鲁思·尼尔森', '约翰·赫德', '佩内洛普·安·米勒', '爱丽丝·德拉蒙德', '朱迪丝·马利纳', '巴顿·海曼', '乔治·马丁', '安妮·米拉', '理查德·利伯蒂尼', '劳拉·伊斯特曼', '德克斯特·戈登', '杰恩·海恩斯', '勒克朗谢·迪兰德', '尤瑟夫·布罗斯', '史蒂文·兰达佐', 'Gloria Harper', 'Gwyllum Evans', '玛丽·凯瑟琳·莱特', '玛丽·爱丽丝', '凯斯·戴蒙德', '史蒂夫·维诺维奇', 'Tiger Haynes', 'John Christopher Jones', '布莱德利·惠特福德', '马克斯·冯·叙多夫', '哈维-米勒', 'Tanya Berezin', '彼得·斯特曼', '查尔斯·基廷', 'Christina Huertes', 'Gary Tacon', 'Mel Gorham', 'Anthony J. Nici']","['剧情', '传记']", 英语,1990-12-12(世纪城首映),8.4,10085,https://movie.douban.com/subject/1296805/
7,伊莉莎与玛瑟拉 Elisa y Marcela,伊莎贝尔·科赛特,"['伊莎贝尔·科赛特', '纳西索·德·加布里埃尔']","['纳塔利娅·德·莫利纳', '格蕾塔·费尔南德斯', '莎拉·卡萨斯诺瓦斯', '塔马·诺瓦斯', '路易斯·奥马', '曼诺罗·索洛', '玛丽亚·皮雅尔特', '弗兰塞斯克·奥雷利亚', '曼努埃尔·卢伦佐', '豪尔赫·苏克特', '安帕罗·莫雷诺', '雷蒙·德·伊斯班纳']","['爱情', '同性', '传记']", 西班牙语 / 葡萄牙语,2019-02-13(柏林电影节),8.4,6539,https://movie.douban.com/subject/30251948/
8,哈姆雷特 National Theatre Live: Hamlet,罗宾·洛,['威廉·莎士比亚'],"['本尼迪克特·康伯巴奇', '珊·布鲁克', '里奥·比尔', '塞伦·希德', '吉姆·诺顿', '卡尔·约翰逊', '寇布勒·霍尔德布鲁克-史密斯', '马修·斯蒂尔', '迪雯·亨利', '巴里·艾尔德', '鲁阿里·科纳汉', '鲁迪·达马林加姆', '莫拉格·席勒', '谢尔戈·瓦雷斯', '科林·黑格']",['剧情'], 英语,2015-10-15(英国),8.4,6733,https://movie.douban.com/subject/26588017/
9,小戏骨：白蛇传,潘礼平,['刘玉洁'],"['陶奕希', '周芷莹', '刘戴恩', '钟奕儿', '陈禹衡', '李俊豪', '李欣怡', '罗自豪', '李平波', '喻峰', '彭楚雅', '胡轶珂', '陈荣达', '姚雯嘉']","['剧情', '儿童', '古装']", 汉语普通话,2016-10-02(中国大陆),8.3,15964,https://movie.douban.com/subject/26887890/
